title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Closely Watched Trains",movie,"Comedy, Drama, Romance",1966,tt0060802,7.6,14434,
"The Fog",movie,"Horror, Mystery",2005,tt0432291,3.7,40312,
"City of Angels",movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131459,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136090,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,152956,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1908640,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,772696,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,530788,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,347285,
"Austin Powers: International Man of Mystery",movie,"Adventure, Comedy",1997,tt0118655,7,265830,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,256111,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,213920,
"Barren Lives",movie,Drama,1963,tt0057654,7.5,3164,
"American Graffiti",movie,"Comedy, Drama",1973,tt0069704,7.4,102173,
"Close Encounters of the Third Kind",movie,"Drama, Sci-Fi",1977,tt0075860,7.6,225247,
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,188335,
"In the Mood for Love",movie,"Drama, Romance",2000,tt0118694,8.1,176913,
2046,movie,"Drama, Romance, Sci-Fi",2004,tt0212712,7.4,63827,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,285731,
"The Mask",movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,446545,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,439523,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1568271,
"Sleepless in Seattle",movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,198579,
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,368484,
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,174330,
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,35956,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31984,
"A Man for All Seasons",movie,"Biography, Drama, History",1966,tt0060665,7.7,38687,
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,282307,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,69175,
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89361,
"Cinderella Man",movie,"Biography, Drama, Romance",2005,tt0352248,8,204161,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106102,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,281062,
"Do the Right Thing",movie,"Comedy, Drama",1989,tt0097216,8,118418,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,208636,
"Lawrence of Arabia",movie,"Adventure, Biography, Drama",1962,tt0056172,8.3,328847,
Halloween,movie,"Horror, Thriller",1978,tt0077651,7.7,323199,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,757183,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,169013,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,458003,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,488721,
