title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,64864,
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,243898,
Platoon,movie,"Drama, War",1986,tt0091763,8.1,455844,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136090,
"Annaluise & Anton",movie,"Comedy, Drama, Family",1999,tt0161935,7,1094,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,152956,
"Rosemary's Baby",movie,"Drama, Horror",1968,tt0063522,8,248082,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,772696,
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,530788,
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,347285,
Airplane!,movie,Comedy,1980,tt0080339,7.7,273530,
"An American Werewolf in London",movie,"Comedy, Horror",1981,tt0082010,7.5,128412,
"Animal Farm",movie,"Comedy, Drama, Family",1999,tt0204824,6,6706,
"The Bridge on the River Kwai",movie,"Adventure, Drama, War",1957,tt0050212,8.1,241623,
Chinatown,movie,"Drama, Mystery, Thriller",1974,tt0071315,8.1,364671,
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,176882,
"Underworld: Evolution",movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,213920,
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,tt0082288,6.6,20870,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,285731,
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,439523,
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1568271,
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,368484,
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,174330,
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.6,214760,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31984,
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,69175,
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89361,
"The Flintstones in Viva Rock Vegas",movie,"Comedy, Family, Romance",2000,tt0158622,3.7,26288,
Delicatessen,movie,"Comedy, Crime",1991,tt0101700,7.5,92277,
"Bringing Up Baby",movie,Comedy,1938,tt0029947,7.8,68235,
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,206785,
"The City of Lost Children",movie,"Adventure, Drama, Fantasy",1995,tt0112682,7.4,73359,
"Pandora's Box",movie,"Crime, Drama, Romance",1929,tt0018737,7.7,12456,
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,29979,
"The Thomas Crown Affair",movie,"Crime, Romance, Thriller",1999,tt0155267,6.9,104145,
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,248579,
"Mother India",movie,"Action, Comedy, Drama",1957,tt0050188,7.8,10133,
"Dead Man",movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106102,
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,281062,
"Do the Right Thing",movie,"Comedy, Drama",1989,tt0097216,8,118418,
"Galaxy Quest",movie,"Adventure, Comedy, Sci-Fi",1999,tt0177789,7.4,185551,
"Don't Look Now",movie,"Drama, Horror, Mystery",1973,tt0069995,7.1,66123,
"Murderers Among Us",movie,"Drama, Romance, Thriller",1946,tt0038769,7.4,2738,
"The Pink Panther",movie,"Comedy, Crime, Romance",1963,tt0057413,7,59231,
Halloween,movie,"Horror, Thriller",1978,tt0077651,7.7,323199,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,757183,
"Kindergarten Cop",movie,"Action, Comedy, Crime",1990,tt0099938,6.3,169013,
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,458003,
"Mission: Impossible",movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,488721,
"Mission: Impossible II",movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,391535,
"Mission: Impossible III",movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,403932,
Spaceballs,movie,"Adventure, Comedy, Sci-Fi",1987,tt0094012,7.1,214876,
"The Gold Rush",movie,"Adventure, Comedy, Drama",1925,tt0015864,8.1,123689,
"The Phantom of the Opera",movie,"Horror, Music",1925,tt0016220,7.5,21155,
"The Magnificent Seven",movie,"Action, Adventure, Drama",1960,tt0054047,7.7,106562,
"Sweet Smell of Success",movie,"Drama, Film-Noir",1957,tt0051036,8,37953,
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,155030,
"The Manchurian Candidate",movie,"Drama, Thriller",1962,tt0056218,7.9,82514,
"The Man Who Fell to Earth",movie,"Drama, Sci-Fi",1976,tt0074851,6.6,30033,
"Sherlock Jr.",movie,"Action, Comedy, Romance",1924,tt0015324,8.2,61823,
"Mulholland Drive",movie,"Drama, Mystery, Thriller",2001,tt0166924,7.9,406657,
Breathless,movie,"Action, Drama, Romance",1983,tt0085276,6,11264,
"The Hidden Fortress",movie,"Adventure, Drama",1958,tt0051808,8,43988,
"Point Break",movie,"Action, Crime, Thriller",1991,tt0102685,7.3,213631,
"The Third Man",movie,"Drama, Film-Noir, Mystery",1949,tt0041959,8.1,189607,
"Escape from New York",movie,"Action, Adventure, Sci-Fi",1981,tt0082340,7.1,165580,
"The Wind that Shakes the Barley",movie,"Drama, War",2006,tt0460989,7.5,56808,
"Catch a Fire",movie,"Biography, Drama, History",2006,tt0437232,6.7,11178,
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,78934,
"The Miracle Worker",movie,"Biography, Drama",1962,tt0056241,8.1,21412,
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117679,
"The Talented Mr. Ripley",movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,261083,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88614,
"Rocky Balboa",movie,"Drama, Sport",2006,tt0479143,7.1,237241,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,119070,
Hollywoodland,movie,"Biography, Crime, Drama",2006,tt0427969,6.5,36568,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173634,
"Lonely Hearts",movie,"Biography, Crime, Drama",2006,tt0441774,6.4,22771,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,138433,
"Because I Said So",movie,"Comedy, Romance",2007,tt0490084,5.6,41027,
"American Psycho",movie,"Crime, Drama, Horror",2000,tt0144084,7.6,779224,
Rocky,movie,"Drama, Sport",1976,tt0075148,8.1,659215,
"Rocky II",movie,"Drama, Sport",1979,tt0079817,7.3,240110,
"First Blood",movie,"Action, Adventure, Thriller",1982,tt0083944,7.7,289138,
"Rambo: First Blood Part II",movie,"Action, Adventure, Thriller",1985,tt0089880,6.5,189620,
"Rambo III",movie,"Action, Adventure, Thriller",1988,tt0095956,5.8,145074,
"Rocky III",movie,"Drama, Sport",1982,tt0084602,6.8,219440,
"Rocky IV",movie,"Drama, Sport",1985,tt0089927,6.9,235416,
"Rocky V",movie,"Drama, Sport",1990,tt0100507,5.4,155878,
Houseboat,movie,"Comedy, Drama, Family",1958,tt0051745,6.6,10084,
"The Fountain",movie,"Drama, Mystery, Romance",2006,tt0414993,7.1,253339,
"Me and You and Everyone We Know",movie,"Comedy, Drama",2005,tt0415978,7.2,38071,
"Out of Sight",movie,"Comedy, Crime, Drama",1998,tt0120780,7,102783,
"Duel at Diablo",movie,"Drama, Thriller, Western",1966,tt0060355,6.5,4615,
"City Slickers",movie,"Comedy, Western",1991,tt0101587,6.8,65687,
"Pan's Labyrinth",movie,"Drama, Fantasy, War",2006,tt0457430,8.2,724390,
"Perfume: The Story of a Murderer",movie,"Crime, Drama, Fantasy",2006,tt0396171,7.5,272852,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173553,
"The Contract",movie,"Action, Crime, Drama",2006,tt0445946,5.6,26677,
